datetime_beginning_utc,datetime_beginning_ept,nerc_region,mkt_region,zone,load_area,mw,is_verified
11/1/2024 4:00:00 AM,11/1/2024 12:00:00 AM,RFC,MIDATL,BC,BC,2655.903,True
11/1/2024 5:00:00 AM,11/1/2024 1:00:00 AM,RFC,MIDATL,BC,BC,2525.620,True
11/1/2024 6:00:00 AM,11/1/2024 2:00:00 AM,RFC,MIDATL,BC,BC,2440.118,True
11/1/2024 7:00:00 AM,11/1/2024 3:00:00 AM,RFC,MIDATL,BC,BC,2399.136,True
11/1/2024 8:00:00 AM,11/1/2024 4:00:00 AM,RFC,MIDATL,BC,BC,2415.043,True
11/1/2024 9:00:00 AM,11/1/2024 5:00:00 AM,RFC,MIDATL,BC,BC,2533.541,True
11/1/2024 10:00:00 AM,11/1/2024 6:00:00 AM,RFC,MIDATL,BC,BC,2782.331,True
11/1/2024 11:00:00 AM,11/1/2024 7:00:00 AM,RFC,MIDATL,BC,BC,2968.584,True
11/1/2024 12:00:00 PM,11/1/2024 8:00:00 AM,RFC,MIDATL,BC,BC,3046.448,True
11/1/2024 1:00:00 PM,11/1/2024 9:00:00 AM,RFC,MIDATL,BC,BC,3098.848,True
11/1/2024 2:00:00 PM,11/1/2024 10:00:00 AM,RFC,MIDATL,BC,BC,3110.468,True
11/1/2024 3:00:00 PM,11/1/2024 11:00:00 AM,RFC,MIDATL,BC,BC,3092.679,True
11/1/2024 4:00:00 PM,11/1/2024 12:00:00 PM,RFC,MIDATL,BC,BC,3103.861,True
11/1/2024 5:00:00 PM,11/1/2024 1:00:00 PM,RFC,MIDATL,BC,BC,3175.797,True
11/1/2024 6:00:00 PM,11/1/2024 2:00:00 PM,RFC,MIDATL,BC,BC,3241.462,True
11/1/2024 7:00:00 PM,11/1/2024 3:00:00 PM,RFC,MIDATL,BC,BC,3314.482,True
11/1/2024 8:00:00 PM,11/1/2024 4:00:00 PM,RFC,MIDATL,BC,BC,3398.042,True
11/1/2024 9:00:00 PM,11/1/2024 5:00:00 PM,RFC,MIDATL,BC,BC,3414.888,True
11/1/2024 10:00:00 PM,11/1/2024 6:00:00 PM,RFC,MIDATL,BC,BC,3389.721,True
11/1/2024 11:00:00 PM,11/1/2024 7:00:00 PM,RFC,MIDATL,BC,BC,3305.493,True
11/2/2024 12:00:00 AM,11/1/2024 8:00:00 PM,RFC,MIDATL,BC,BC,3164.154,True
11/2/2024 1:00:00 AM,11/1/2024 9:00:00 PM,RFC,MIDATL,BC,BC,2996.530,True
11/2/2024 2:00:00 AM,11/1/2024 10:00:00 PM,RFC,MIDATL,BC,BC,2801.480,True
