datetime_beginning_utc,datetime_beginning_ept,nerc_region,mkt_region,zone,load_area,mw,is_verified
11/1/2021 4:00:00 AM,11/1/2021 12:00:00 AM,RFC,MIDATL,BC,BC,2470.774,True
11/1/2021 5:00:00 AM,11/1/2021 1:00:00 AM,RFC,MIDATL,BC,BC,2386.941,True
11/1/2021 6:00:00 AM,11/1/2021 2:00:00 AM,RFC,MIDATL,BC,BC,2349.754,True
11/1/2021 7:00:00 AM,11/1/2021 3:00:00 AM,RFC,MIDATL,BC,BC,2347.928,True
11/1/2021 8:00:00 AM,11/1/2021 4:00:00 AM,RFC,MIDATL,BC,BC,2415.419,True
11/1/2021 9:00:00 AM,11/1/2021 5:00:00 AM,RFC,MIDATL,BC,BC,2613.362,True
11/1/2021 10:00:00 AM,11/1/2021 6:00:00 AM,RFC,MIDATL,BC,BC,2934.299,True
11/1/2021 11:00:00 AM,11/1/2021 7:00:00 AM,RFC,MIDATL,BC,BC,3142.262,True
11/1/2021 12:00:00 PM,11/1/2021 8:00:00 AM,RFC,MIDATL,BC,BC,3168.708,True
11/1/2021 1:00:00 PM,11/1/2021 9:00:00 AM,RFC,MIDATL,BC,BC,3067.578,True
11/1/2021 2:00:00 PM,11/1/2021 10:00:00 AM,RFC,MIDATL,BC,BC,2979.000,True
11/1/2021 3:00:00 PM,11/1/2021 11:00:00 AM,RFC,MIDATL,BC,BC,2928.054,True
11/1/2021 4:00:00 PM,11/1/2021 12:00:00 PM,RFC,MIDATL,BC,BC,2900.951,True
11/1/2021 5:00:00 PM,11/1/2021 1:00:00 PM,RFC,MIDATL,BC,BC,2874.051,True
11/1/2021 6:00:00 PM,11/1/2021 2:00:00 PM,RFC,MIDATL,BC,BC,2865.055,True
11/1/2021 7:00:00 PM,11/1/2021 3:00:00 PM,RFC,MIDATL,BC,BC,2884.773,True
11/1/2021 8:00:00 PM,11/1/2021 4:00:00 PM,RFC,MIDATL,BC,BC,2988.506,True
11/1/2021 9:00:00 PM,11/1/2021 5:00:00 PM,RFC,MIDATL,BC,BC,3156.237,True
11/1/2021 10:00:00 PM,11/1/2021 6:00:00 PM,RFC,MIDATL,BC,BC,3337.874,True
11/1/2021 11:00:00 PM,11/1/2021 7:00:00 PM,RFC,MIDATL,BC,BC,3366.275,True
11/2/2021 12:00:00 AM,11/1/2021 8:00:00 PM,RFC,MIDATL,BC,BC,3281.921,True
11/2/2021 1:00:00 AM,11/1/2021 9:00:00 PM,RFC,MIDATL,BC,BC,3145.273,True
11/2/2021 2:00:00 AM,11/1/2021 10:00:00 PM,RFC,MIDATL,BC,BC,2934.106,True
11/2/2021 3:00:00 AM,11/1/2021 11:00:00 PM,RFC,MIDATL,BC,BC,2733.134,True
11/2/2021 4:00:00 AM,11/2/2021 12:00:00 AM,RFC,MIDATL,BC,BC,2598.787,True
11/2/2021 5:00:00 AM,11/2/2021 1:00:00 AM,RFC,MIDATL,BC,BC,2518.009,True
11/2/2021 6:00:00 AM,11/2/2021 2:00:00 AM,RFC,MIDATL,BC,BC,2468.644,True
