datetime_beginning_utc,datetime_beginning_ept,nerc_region,mkt_region,zone,load_area,mw,is_verified
11/1/2020 4:00:00 AM,11/1/2020 12:00:00 AM,RFC,MIDATL,BC,BC,2744.707,True
11/1/2020 5:00:00 AM,11/1/2020 1:00:00 AM,RFC,MIDATL,BC,BC,2650.000,True
11/1/2020 6:00:00 AM,11/1/2020 1:00:00 AM,RFC,MIDATL,BC,BC,2564.470,True
11/1/2020 7:00:00 AM,11/1/2020 2:00:00 AM,RFC,MIDATL,BC,BC,2524.327,True
11/1/2020 8:00:00 AM,11/1/2020 3:00:00 AM,RFC,MIDATL,BC,BC,2495.141,True
11/1/2020 9:00:00 AM,11/1/2020 4:00:00 AM,RFC,MIDATL,BC,BC,2505.397,True
11/1/2020 10:00:00 AM,11/1/2020 5:00:00 AM,RFC,MIDATL,BC,BC,2579.830,True
11/1/2020 11:00:00 AM,11/1/2020 6:00:00 AM,RFC,MIDATL,BC,BC,2666.354,True
11/1/2020 12:00:00 PM,11/1/2020 7:00:00 AM,RFC,MIDATL,BC,BC,2758.404,True
11/1/2020 1:00:00 PM,11/1/2020 8:00:00 AM,RFC,MIDATL,BC,BC,2872.573,True
11/1/2020 2:00:00 PM,11/1/2020 9:00:00 AM,RFC,MIDATL,BC,BC,3038.704,True
11/1/2020 3:00:00 PM,11/1/2020 10:00:00 AM,RFC,MIDATL,BC,BC,3182.183,True
11/1/2020 4:00:00 PM,11/1/2020 11:00:00 AM,RFC,MIDATL,BC,BC,3253.595,True
11/1/2020 5:00:00 PM,11/1/2020 12:00:00 PM,RFC,MIDATL,BC,BC,3249.474,True
11/1/2020 6:00:00 PM,11/1/2020 1:00:00 PM,RFC,MIDATL,BC,BC,3167.328,True
11/1/2020 7:00:00 PM,11/1/2020 2:00:00 PM,RFC,MIDATL,BC,BC,3084.292,True
11/1/2020 8:00:00 PM,11/1/2020 3:00:00 PM,RFC,MIDATL,BC,BC,3058.352,True
11/1/2020 9:00:00 PM,11/1/2020 4:00:00 PM,RFC,MIDATL,BC,BC,3149.252,True
11/1/2020 10:00:00 PM,11/1/2020 5:00:00 PM,RFC,MIDATL,BC,BC,3347.109,True
